extinguishing fire,171,smoke,47,action,a photo of extinguishing fire
blowing out candles,38,smoke,47,action,a photo of blowing out candles
eating spagetti,166,spaghetii,48,action,a photo of eating spagetti
cutting watermelon,128,watermelon,52,action,a photo of cutting watermelon
eating watermelon,167,watermelon,52,action,a photo of eating watermelon
tasting wine,522,wine,53,action,a photo of tasting wine
chiseling wood,87,wood,54,action,a photo of chiseling wood
chopping wood,90,wood,54,action,a photo of chopping wood
sawing wood,432,wood,54,action,a photo of sawing wood
using circular saw,561,wood,54,action,a photo of using circular saw
